;Light;Temperature;Humidity;Soil_humidity;Plant Type;Time;Waterneed
226;590.0;17.4;38.0;94.0;Sanseveria;Wed Apr 10 10:09:58 2024;5
227;590.0;17.0;38.0;94.0;Sanseveria;Wed Apr 10 10:09:59 2024;5
228;591.0;17.0;38.0;94.0;Sanseveria;Wed Apr 10 10:09:59 2024;5
229;592.0;17.0;38.0;93.0;Sanseveria;Wed Apr 10 10:10:00 2024;5
230;592.0;17.0;38.0;94.0;Sanseveria;Wed Apr 10 10:10:00 2024;5
231;593.0;17.0;38.0;94.0;Sanseveria;Wed Apr 10 10:10:01 2024;5
232;594.0;17.0;38.0;93.0;Sanseveria;Wed Apr 10 10:10:03 2024;5
233;595.0;17.0;38.0;93.0;Sanseveria;Wed Apr 10 10:10:03 2024;5
234;596.0;17.0;38.0;93.0;Sanseveria;Wed Apr 10 10:10:04 2024;5
235;596.0;16.6;38.0;93.0;Sanseveria;Wed Apr 10 10:10:04 2024;5
236;597.0;16.6;38.0;93.0;Sanseveria;Wed Apr 10 10:10:06 2024;5
237;615.0;16.6;38.0;84.0;Sanseveria;Wed Apr 10 10:10:06 2024;4.2
238;603.0;16.6;38.0;80.0;Sanseveria;Wed Apr 10 10:10:07 2024;4.2
239;606.0;16.6;38.0;82.0;Sanseveria;Wed Apr 10 10:10:08 2024;4.2
240;607.0;16.6;38.0;82.0;Sanseveria;Wed Apr 10 10:10:10 2024;4.2
241;575.0;15.2;43.0;72.0;Sanseveria;Wed Apr 10 10:10:43 2024;4.5
242;576.0;15.2;44.0;50.0;Sanseveria;Wed Apr 10 10:10:44 2024;4.5
243;582.0;15.2;45.0;72.0;Sanseveria;Wed Apr 10 10:10:44 2024;4.5
244;572.0;15.2;45.0;68.0;Sanseveria;Wed Apr 10 10:10:45 2024;4.3
245;578.0;15.3;45.0;67.0;Sanseveria;Wed Apr 10 10:10:45 2024;4.3
246;580.0;15.7;45.0;66.0;Sanseveria;Wed Apr 10 10:10:46 2024;4.3
247;588.0;15.7;45.0;56.0;Sanseveria;Wed Apr 10 10:10:46 2024;3.7
248;576.0;15.7;46.0;65.0;Sanseveria;Wed Apr 10 10:10:47 2024;4.3
