Light,Temperature,Humidity,Soil_humidity,Plant Type,Time
578.0,21.4,44.0,91.0,Sanseveria,Wed Apr 10 10:08:54 2024
577.0,21.4,44.0,91.0,Sanseveria,Wed Apr 10 10:08:55 2024
577.0,21.4,44.0,92.0,Sanseveria,Wed Apr 10 10:08:55 2024
576.0,21.4,43.0,92.0,Sanseveria,Wed Apr 10 10:08:56 2024
576.0,21.4,43.0,92.0,Sanseveria,Wed Apr 10 10:08:56 2024
576.0,21.4,43.0,93.0,Sanseveria,Wed Apr 10 10:08:57 2024
575.0,21.0,43.0,93.0,Sanseveria,Wed Apr 10 10:08:57 2024
575.0,21.0,43.0,92.0,Sanseveria,Wed Apr 10 10:08:58 2024
576.0,21.0,43.0,92.0,Sanseveria,Wed Apr 10 10:08:58 2024
576.0,21.0,43.0,92.0,Sanseveria,Wed Apr 10 10:08:59 2024
576.0,21.0,43.0,92.0,Sanseveria,Wed Apr 10 10:08:59 2024
575.0,21.0,43.0,92.0,Sanseveria,Wed Apr 10 10:09:00 2024
575.0,21.0,43.0,92.0,Sanseveria,Wed Apr 10 10:09:00 2024
575.0,21.0,43.0,92.0,Sanseveria,Wed Apr 10 10:09:01 2024
575.0,21.0,43.0,92.0,Sanseveria,Wed Apr 10 10:09:01 2024
576.0,21.0,42.0,92.0,Sanseveria,Wed Apr 10 10:09:02 2024
576.0,21.0,42.0,91.0,Sanseveria,Wed Apr 10 10:09:03 2024
576.0,20.6,43.0,91.0,Sanseveria,Wed Apr 10 10:09:03 2024
576.0,20.6,43.0,91.0,Sanseveria,Wed Apr 10 10:09:04 2024
577.0,20.6,43.0,90.0,Sanseveria,Wed Apr 10 10:09:04 2024
576.0,20.6,43.0,90.0,Sanseveria,Wed Apr 10 10:09:05 2024
575.0,20.6,43.0,91.0,Sanseveria,Wed Apr 10 10:09:05 2024
575.0,20.6,43.0,91.0,Sanseveria,Wed Apr 10 10:09:06 2024
574.0,20.6,43.0,92.0,Sanseveria,Wed Apr 10 10:09:06 2024
574.0,20.6,43.0,92.0,Sanseveria,Wed Apr 10 10:09:07 2024
574.0,20.6,43.0,92.0,Sanseveria,Wed Apr 10 10:09:07 2024
574.0,20.6,43.0,92.0,Sanseveria,Wed Apr 10 10:09:08 2024
573.0,20.6,43.0,92.0,Sanseveria,Wed Apr 10 10:09:08 2024
572.0,20.2,42.0,92.0,Sanseveria,Wed Apr 10 10:09:09 2024
572.0,20.2,42.0,92.0,Sanseveria,Wed Apr 10 10:09:09 2024
571.0,20.2,42.0,92.0,Sanseveria,Wed Apr 10 10:09:10 2024
572.0,20.2,42.0,92.0,Sanseveria,Wed Apr 10 10:09:10 2024
572.0,20.2,42.0,93.0,Sanseveria,Wed Apr 10 10:09:11 2024
571.0,20.2,42.0,93.0,Sanseveria,Wed Apr 10 10:09:11 2024
571.0,20.2,42.0,93.0,Sanseveria,Wed Apr 10 10:09:12 2024
571.0,20.2,42.0,93.0,Sanseveria,Wed Apr 10 10:09:12 2024
572.0,20.2,42.0,93.0,Sanseveria,Wed Apr 10 10:09:13 2024
571.0,20.2,42.0,93.0,Sanseveria,Wed Apr 10 10:09:14 2024
571.0,20.2,42.0,93.0,Sanseveria,Wed Apr 10 10:09:14 2024
